,cookie,type,retention,description
652,AMCV_,Marketing,2 years,Adobe Experience Cloud uses a cookie to store a unique visitor ID that is used across Experience Cloud Solutions.
653,AMCVS_,Marketing,Session,The AMCVS cookie serves as a flag indicating that the session has been initialized. Its value is always 1 and discontinues when the session has ended.
654,mbox,Marketing,2 years,Adobe Target uses cookies to give website operators the ability to test which online content and offers are more relevant to visitors.
655,at_check,Functional,session,A simple test value used to determine if a visitor supports cookies. Set each time a visitor requests a page.
656,renderid,Functional,session,This cookie is needed by the dispatcher (webserver) to distinguish between the different publisher server.
657,s_ppv,Analytics,session,Stores information on the percentage of the page displayed
658,s_tp,Analytics,session,This lets us know how much of the page you viewed.
659,TPC,Marketing,14 days,Used to determine if browser of user accepts third party cookies or not
660,C,Marketing,60 days till 3650 days,Used to determine if browser of user accepts cookies or not
661,uid,Marketing,60 days,Contains a unique ID to identify a user
662,cid,Marketing,60 days,Unique value to be able to identify cookies from users (same as uid)
663,GCM,Marketing,1 day,Checks if a new partner cookie synchronozation is required
664,CM,Marketing,1 day,Checks if a new partner cookie synchronozation is required (cookie set by ad server)
665,CM14,Marketing,1 day,Checks if a new partner cookie synchronozation is required (cookie set during cookie synchronozation )
666,token,Marketing,End of session (browser),Security token for opt out functionality
667,otsid,Marketing,365 days,Opt out cookie for specific advertiser
668,adtrc,Marketing,7 days,Used to determine if browser related information has been collected
669,SR<RotatorID>,Marketing,1 day,"Unique value that records info about consecutive ads - includes: total impressions, daily impressions, total clicks, daily clicks, and last impression date"
670,CT<TrackingSetupID>,Marketing,1 hour,Identifies the last click membership for third-party pixels on advertiser's pages
671,EBFCD<BannerID>,Marketing,7 days,Registers daily max. number of impressions (frequency cap) for expanding advertisements (expandables)
672,EBFC<BannerID>,Marketing,7 days,Registers max. total number of impressions (frequency cap) for expanding advertisements (expandables)
673,CFFC<TagID>,Marketing,7 days,Registers max. number of impressions (frequency cap) for compound banners
674,DigiTrust.v1.identity,Marketing,7 days,"Unique value with which the user is identified by DigiTrust, an independent industrial body"
675,lu,Marketing,2 year,"Used to record whether the person chose to remain logged in

Contents: User ID and miscellaneous log in information (e.g., number of logins per account, state of the ""remember me"" check box, etc.)"
676,xs,Marketing,90 days,"Used in conjunction with the c_user cookie to authenticate your identity to Facebook.

Contents: Session ID, creation time, authentication value, secure session state, caching group ID"
677,c_user,Marketing,90 days,"Used in conjunction with the xs cookie to authenticate your identity to Facebook.

Contents: User ID"
678,m_user,Marketing,90 days,"Used to authenticate your identity on Facebook's mobile website.

Contents: Email, User ID, authentication value, version, user agent capability, creation time, Facebook version indicator"
679,pl,Marketing,90 days,"Used to record that a device or browser logged in via Facebook platform.

Contents: Y/N"
680,dbln,Marketing,2 years,"Used to enable device-based logins

Contents: Login authentication values"
681,aks,Marketing,30 days,"Determines the login state of a person visiting accountkit.com

Contents: Account kit access token"
682,aksb,Marketing,30 minutes,"Authenticates logins using Account Kit

Contents: Request time value"
683,sfau,Marketing,1 day,"Optimizes recovery flow after failed login attempts

Contents: Encrypted user ID, contact point, time stamp, and other login information"
684,ick,Marketing,2 years,Stores an encryption key used to encrypt cookies
685,csm,Marketing,90 days,Insecure indicator
686,s,Marketing,90 days,"	
Facebook browser identification, authentication, marketing, and other Facebook-specific function cookies."
687,oo,Marketing,5 years,Ad optout cookie
688,ddid,Marketing,28 days,Used to open a specific location in an advertiser's app upon installation
689,_fbc,Marketing,2 years,Used by Facebook to deliver a series of advertisement products such as real time bidding from third party advertisers
690,js_ver,Marketing,7 days,Records the age of Facebook javascript files.
691,rc,Marketing,7 days,Used to optimize site performance for advertisers
692,campaign_click_url,Marketing,30 days,Records the Facebook URL that an individual landed on after clicking on an ad promoting Facebook
693,ID,Marketing,2 months,"This cookie is used for targeting, analyzing and optimisation of ad campaigns in DoubleClick/Google Marketing Suite "
694,__gads,Marketing,various,"This cookie is used by Google for a variety of purposes (e.g., ensuring Frequency Caps work correctly). It includes AdSense if you have AdSense enabled. This cookie is associated with the DoubleClick for Publishers service from Google. Its purpose is to monitor the showing of advertisements on the site, for which the owner may earn some revenue. The main purpose of this cookie is targeting/advertising."
695,GoogleAdServingTest,Marketing,session,Used to register what ads have been displayed to the user.
696,fl_inst,Marketing,7 days,Used to check if Flash plugin is enabled in browser of user.
697,pvc2,Marketing,13 months,Contains information related to ad impressions.
698,pcc2,Marketing,13 months,Contains information related to ad impressions.
699,trc,Marketing,13 months,Contains information related to ad impressions.
700,tuuid,Marketing,13 months,Unique value to identify individual users.
701,ad2,Marketing,13 months,Contains information related to ad impressions.
702,MR,Marketing,6 months,Used to collect information for analytics purposes.
703,MUIDB,Marketing,1 year,"Identifies unique web browsers visiting Microsoft sites. These cookies are used for advertising, site analytics, and other operational purposes."
704,MC1,Marketing,1 year,"Identifies unique web browsers visiting Microsoft sites. These cookies are used for advertising, site analytics, and other operational purposes."
705,MSFPC,Marketing,1 year,"Identifies unique web browsers visiting Microsoft sites. These cookies are used for advertising, site analytics, and other operational purposes."
706,_uetsid,Marketing,30 minutes,This cookie is used by Bing to determine what ads should be shown that may be relevant to the end user perusing the site.
707,_uetvid,Marketing,16 days,This is a cookie utilised by Microsoft Bing Ads and is a tracking cookie. It allows us to engage with a user that has previously visited our website.
708,ANON,Marketing,1 year,"Contains the ANID, a unique identifier derived from your Microsoft account, which is used for advertising, personalization, and operational purposes. It is also used to preserve your choice to opt out of interest-based advertising from Microsoft if you have chosen to associate the opt-out with your Microsoft account."
709,ANONCHK,Marketing,10 minutes,Used to store session ID for a users session to ensure that clicks from adverts on the Bing search engine are verified for reporting purposes and for personalisation
710,CC,Marketing,1 year,Contains a country code as determined from your IP address.
711,PPAuth,Functional,5 years,Helps to authenticate you when you sign in with your Microsoft account.
712,MSPAuth,Functional,5 years,Helps to authenticate you when you sign in with your Microsoft account.
713,MSNRPSAuth,Functional,5 years,Helps to authenticate you when you sign in with your Microsoft account.
714,KievRPSAuth,Functional,5 years,Helps to authenticate you when you sign in with your Microsoft account.
715,WLSSC,Functional,5 years,Helps to authenticate you when you sign in with your Microsoft account.
716,MSPProf,Functional,5 years,Helps to authenticate you when you sign in with your Microsoft account.
717,MC0,Functional,End of session (browser),Detects whether cookies are enabled in the browser.
718,MS0,Functional,End of session (browser),Identifies a specific session.
719,NAP,Marketing,1 year,"Contains an encrypted version of your country, postal code, age, gender, language and occupation, if known, based on your Microsoft account profile."
720,MH,Marketing,End of session (browser),"Appears on co-branded sites where Microsoft is partnering with an advertiser. This cookie identifies the advertiser, so the right ad is selected."
721,childinfo,Marketing,5 years,Contains information that Microsoft account uses within its pages in relation to child accounts.
722,kcdob,Marketing,5 years,Contains information that Microsoft account uses within its pages in relation to child accounts.
723,kcrelid,Marketing,5 years,Contains information that Microsoft account uses within its pages in relation to child accounts.
724,kcru,Marketing,5 years,Contains information that Microsoft account uses within its pages in relation to child accounts.
725,pcfm,Marketing,5 years,Contains information that Microsoft account uses within its pages in relation to child accounts.
726,x-ms-gateway-slice,Functional,End of session (browser),Identifies a gateway for load balancing.
727,ToptOut,Marketing,1 year,Records your decision not to receive interest-based advertising delivered by Microsoft.
728,ACH01,Marketing,End of session (browser),Maintains information about which ad and where the user clicked on the ad.
729,AADSSO,Functional,End of session (browser),Microsoft Microsoft Online Authentication Cookie
730,brcap,Functional,1 year,Microsoft Microsoft Online Authentication Cookie
731,SRM_B,Functional,1 year," Collected user data is specifically adapted to the user or device. The usercan also be followed outside of the loaded website, creating a picture of the visitor's behavior."
732,buid,Functional,1 month,This cookie is used by Microsoft to securely verify your login information
733,esctx,Functional,session,This cookie is used by Microsoft to securely verify your login information
734,fpc,Functional,session,This cookie is used by Microsoft to securely verify your login information
735,stsservicecookie,Functional,session,Cookie for Azure Active Directory B2C-verification
736,ARRAffinity,Functional,1 year,"When using Microsoft Azure as a hosting platform and enabling load balancing, this cookie ensures that  requests from one visitor's browsing session are always handled by the same server in the cluster."
737,ARRAffinitySameSite,Functional,1 year,"When using Microsoft Azure as a hosting platform and enabling load balancing, this cookie ensures that  requests from one visitor's browsing session are always handled by the same server in the cluster."
738,__AntiXsrfToken,Functional,session,This cookie is used to prevent Cross-site request forgery (often abbreviated as CSRF) attacks of the website. CSRF attacks exploit the trust that a site has in a user's browser.
739,.ASPXANONYMOUS,Functional,session,Created by ASP.Net. This cookie configures anonymous identification for application authorization. This is required to identify entities that are not authenticated when authorization is required.
740,.ASPXAUTH,Functional,session,Created by ASP.Net. .ASPXAUTH is a cookie to identify if the user is authenticated( As user's identity has been verified)
741,nSGt-,Functional,session,This cookie is used by Microsoft to securely verify your Sharepoint login information
742,RpsContextCookie,Functional,session,This cookie is used by Microsoft to securely verify your Sharepoint login information
743,ASLBSACORS,Functional,Session,Microsoft App Service and Front Door Affinity Cookies. These cookies are used to direct your browser to use the appropriate backend server.
744,ASLBSA,Functional,Session,Microsoft App Service and Front Door Affinity Cookies. These cookies are used to direct your browser to use the appropriate backend server.
745,ASPSESSIONID,Functional,Session,Browsing session: the asterisks identify an alphanumerical code that varies from session to session in automatic mode.
746,VisitorStorageGuid,Functional,Session,This cookie is used by Azure Apps to keep a user session on the same server.
747,ai_session,Functional,Session,This is a unique anonymous session identifier cookie.
748,AADNonce.forms,Functional,session,Unique identifier of one authentication session to prevent replay.
749,DcLcid,Functional,90 days,Saves language preference.
750,_clck,Analytics,1 year," This cookie is installed by Microsoft Clarity to store information of how visitors use a website and help in creating an analytics report of how the website is doing. The data collected including the number visitors, the source where they have come from, and the pages visited in an anonymous form."
751,_clsk,Analytics,session,"This cookie is installed by Microsoft Clarity to store information of how visitors use a website and help in creating an analytics report of how the website is doing. The data collected including the number visitors, the source where they have come from, and the pages visited in an anonymous form."
752,personalization_id,Marketing,2 years,"Unique value with which users can be identified by Twitter. Collected information is used to be personalize Twitter services, including Twitter trends, stories, ads and suggestions."
753,ct0,Marketing,2 years,"These cookies enable us to track visitor activity from our Twitter ads on our website, and also to allow users to share content from our websites. They cookies do not provide us with any confidential information relating to your account."
754,gt,Marketing,1 year,"Twitter uses these cookies to support plugin integration with our website. If you use the Tweet plugin and log into your Twitter account, Twitter will set some of these cookies to remember that you are logged in. Twitter will also use cookies for their own analytics purposes."
755,__insp_pad,Analytics,End of session (browser),This cookie contains the page number of the session recording.
756,__insp_sid,Analytics,End of session (browser),This cookie contains the ID of the Inspectlet session that is being recorded.
757,__insp_ref,Analytics,End of session (browser),The cookie contains the referrer source/URL
758,__insp_scpt,Analytics,End of session (browser),This cookie contains an integer that allows us to know if the screen capture was triggered or not.
759,__insp_nv,Analytics,End of session (browser),This cookie contains a value that allows Inspectlet to know if this user is a new visitor or a returning visitor.
760,__insp_wid,Analytics,End of session (browser),This cookie contains an uniqe user ID provided by the website if set up.
761,__insp_uid,Analytics,1 year,This cookie contains random ID assigned to a visitor.
762,__insp_dct,Analytics,Session,Registers statistical data on visitors' behaviour on the website. Used for internal analytics by the website operator.
763,CTK,Analytics,17 years,Contains information related to registering (counting) a job application via a job listing on indeed.com.
764,ctkgen,Analytics,1 day,Contains information related to registering (counting) a job application via a job listing on indeed.com.
765,INDEED_CSRF_TOKEN,Analytics,End of session (browser),Contains information related to registering (counting) a job application via a job listing on indeed.com.
766,jasx_pool_id,Analytics,End of session (browser),Contains information related to registering (counting) a job application via a job listing on indeed.com.
767,pagead/conv/%INTEGER%,Analytics,End of session (browser),Contains information related to registering (counting) a job application via a job listing on indeed.com.
768,tv_spot_tracker,Analytics,End of session (browser),Contains information about the timeslot of a running TV ad
769,cookie-consent-io,Functional,1 year,Registers cookie preferences of a user
770,cookie-consent-io-timestamp,Functional,30 days,Registers user activity timestamp
771,cookie-consent-io-gdpr,Functional,1 year,Register anonymous consent identifier for GDPR consent compliance
772,__adm_ui,Marketing,1 year,"Used to track visitors on multiple websites, in order to present relevant advertisement based on the visitor's preferences."
773,__adm_uiex,Marketing,1 year,"Used to track visitors on multiple websites, in order to present relevant advertisement based on the visitor's preferences."
774,__adm_usyncc,Marketing,5 days,"Used to identify the visitor across visits and devices. This allows the website to present the visitor with relevant advertisement - The service is provided by third party advertisement hubs, which facilitate real-time bidding for advertisers."
775,__cfruid,Functional,session,"Used by the content network, Cloudflare, to identify trusted web traffic."
776,__uin_bw,Marketing,1 month,"Collects information on visitor behaviour on multiple websites. This information is used on the website, in order to optimize the relevance of advertisement."
777,__uir_bw,Marketing,1 day,Collects data on visitors' behaviour and interaction - This is used to optimize the website and make advertisement on the website more relevant.
778,__uis,Marketing,29 days,"Used to track visitors on multiple websites, in order to present relevant advertisement based on the visitor's preferences."
779,HAPLB5S,Marketing,29 days,"Used to track visitors on multiple websites, in order to present relevant advertisement based on the visitor's preferences."
780,_dbefe,Marketing,Session,Collects information on user preferences and/or interaction with web-campaign content - This is used on CRM-campaign-platform used by website owners for promoting events or products.
781,_hjIncludedInSample,Analytics,365 days,Hotjar cookie. This session cookie is set to let Hotjar know whether that visitor is included in the sample which is used to generate funnels.
782,_hjDoneTestersWidgets,Analytics,365 days,Hotjar cookie. This cookie is set once a visitor submits their information in the Recruit User Testers widget. It is used to ensure that the same form does not re-appear if it has already been filled in.
783,_hjMinimizedTestersWidgets,Analytics,365 days,Hotjar cookie. This cookie is set once a visitor minimizes a Recruit User Testers widget. It is used to ensure that the widget stays minimizes when the visitor navigates through your site.
784,_hjSession_,Functional,30 minutes,A cookie that holds the current session data. This ensues that subsequent requests within the session window will be attributed to the same Hotjar session.
785,_hjSessionUser_,Functional,365 days,"Hotjar cookie that is set when a user first lands on a page with the Hotjar script. It is used to persist the Hotjar User ID, unique to that site on the browser. This ensures that behavior in subsequent visits to the same site will be attributed to the same user ID."
786,_kuid_,Marketing,6 months,Registers a unique ID that identifies a returning user's device. The ID is used for targeted ads.
787,ac_enable_tracking,Marketing,29 days,This cookie is associated with Active Campaign and is set to confirm that tracking has been enabled for the website. Tracking is used to create reports of our web traffic and improve the user experience of the website.
788,ASP.NET_SessionId_Fallback,Functional,Session,"Fallback session cookie to support older browsers that haven't implemented the Secure flag, in modern evergreen browsers this cookie is never set as it haven't got the Secure flag."
789,trkCode,Marketing,1 year,This cookie is used by LinkedIn to support the functionality of adding a panel invite labeled 'Follow Us'
790,trkInfo,Marketing,1 year,This cookie is used by LinkedIn to support the functionality of adding a panel invite labeled 'Follow Us'
791,li_oatml,Marketing,30 days,Collects information about how visitors use our site.
792,liap,Marketing,90 days,Cookie used for Sign-in with Linkedin and/or to allow for the Linkedin follow feature.
793,spectroscopyId,Marketing,session,"These cookies are set by LinkedIn for advertising purposes, including: tracking visitors so that more relevant ads can be presented, allowing users to use the 'Apply with LinkedIn' or the 'Sign-in with LinkedIn' functions, collecting information about how visitors use the site, etc."
794,li_rm,Functional,1 year,Used as part of the LinkedIn Remember Me feature and is set when a user clicks Remember Me on the device to make it easier for him or her to sign in to that device
795,GCLB,Functional,Session,"This cookie is used in context with load balancing - This optimizes the response rate between the visitor and the site, by distributing the traffic load on multiple network links or servers."
796,AWSELBCORS,Functional,Session,"For continued stickiness support with CORS use cases after the Chromium update, we are creating additional stickiness cookies for each of these duration-based stickiness features named AWSELBCORS (ALB)."
797,AWSELB,Functional,Session,AWS Classic Load Balancer Cookie: Load Balancing Cookie: Used to map the session to the instance.
798,CMST,Marketing,1 day,"Collects visitor data related to the user's visits to the website, such as the number of visits, average time spent on the website and what pages have been loaded, with the purpose of displaying targeted ads."
799,cookieJartestCookie,Marketing,1 day,Pending
800,jpxumaster,Marketing,1 month,"Used to present the visitor with relevant content and advertisement - The service is provided by third party advertisement hubs, which facilitate real-time bidding for advertisers."
801,jpxumatched,Marketing,1 month,"Used to present the visitor with relevant content and advertisement - The service is provided by third party advertisement hubs, which facilitate real-time bidding for advertisers."
802,PugT,Marketing,29 days,Registers a unique ID that identifies the user's device during return visits across websites that use the same ad network. The ID is used to allow targeted ads.
803,Kiyohnl,Functional,1 year,Cookies are associated with the use of Kiyoh to collect and display customer reviews
804,id5,Marketing,1 day,"Sets a unique ID for the visitor, that allows third party advertisers to target the visitor with relevant advertisement. This pairing service is provided by third party advertisement hubs, which facilitates real-time bidding for advertisers."
805,cip,Marketing,1 day,"Used to present the visitor with relevant content and advertisement - The service is provided by third party advertisement hubs, which facilitate real-time bidding for advertisers."
806,car,Marketing,1 day,"Used to present the visitor with relevant content and advertisement - The service is provided by third party advertisement hubs, which facilitate real-time bidding for advertisers."
807,callback,Marketing,1 day,"Collects data on visitor behaviour from multiple websites, in order to present more relevant advertisement - This also allows the website to limit the number of times that the visitor is shown the same advertisement."
808,cnac,Marketing,1 day,"Used to present the visitor with relevant content and advertisement - The service is provided by third party advertisement hubs, which facilitate real-time bidding for advertisers."
809,cf,Marketing,1 day,"Sets a unique ID for the visitor, that allows third party advertisers to target the visitor with relevant advertisement. This pairing service is provided by third party advertisement hubs, which facilitates real-time bidding for advertisers."
810,gdpr,Functional,1 day,Determines whether the visitor has accepted the cookie consent box. This ensures that the cookie consent box will not be presented again upon re-en try.
811,UIDR,Marketing,2 years,"Collects information of the user and his/her movement, such as timestamp for visits, most recently loaded pages and IP address. The data is used by the marketing research network, Scorecard Research, to analyse traffic patterns and carry out surveys to help their clients better understand the customer's preferences."
812,SEUNCY,Marketing,179 days,Registers a unique ID that identifies the user’s device for return visits.
813,OAID,Marketing,1 year,"This cookie is used by the ad server software to manage which ads are placed on our website, and to capture clicks on those ads. Information is collected in anonymous form, and we do not use this data to deliver specific content, advertising or otherwise, to your browser."
814,ljt_reader,Marketing,1 year,"Collects data related to reader interests, context, demographics and other information on behalf of the Lijit platform with the purpose of finding interested users on websites with related content."
815,rek_content,Marketing,6 days,Pending
816,um,Marketing,90 days,To enable the bidding process.
817,umeh,Marketing,90 days,To enable the bidding process.
818,BSWtracker,Marketing,694 days,"Collects data on visitor behaviour from multiple websites, in order to present more relevant advertisement - This also allows the website to limit the number of times that the visitor is shown the same advertisement."
819,_rxuuid,Marketing,1 year,"Sets a unique ID for the visitor, with which external advertisers can target the visitor with relevant advertisements. This linking service is provided by third-party advertising hubs, facilitating real-time bidding for advertisers."
820,AA003,Marketing,3 months,"Collects information on visitor behaviour on multiple websites. This information is used on the website, in order to optimize the relevance of advertisement."
821,ATN,Marketing,3 months,"Collects information on visitor behaviour on multiple websites. This information is used on the website, in order to optimize the relevance of advertisement."
822,tt_viewer,Marketing,1 year,Teads uses a “tt_viewer” cookie to help personalize the video ads you see on our partner websites.
823,cfid,Functional,1 day,"This cookie is used to determine which type of device the visitor is using, so the website can be properly formatted"
824,cftoken,Functional,1 day,"This cookie is used to determine which type of device the visitor is using, so the website can be properly formatted"
825,gckp,Marketing,1 year,Registers a unique ID that identifies a returning user's device. The ID is used for targeted ads.
826,um2,Marketing,2 years,"Sets a unique ID for the visitor, that allows third party advertisers to target the visitor with relevant advertisement. This pairing service is provided by third party advertisement hubs, which facilitates real-time bidding for advertisers."
827,tuuid_lu,Marketing,3 months,"Contains a unique visitor ID, which allows Bidswitch.com to track the visitor across multiple websites. This allows Bidswitch to optimize advertisement relevance and ensure that the visitor does not see the same ads multiple times."
828,uu,Marketing,1 year,Used to target ads by registering the user's movements across websites.
829,betweendigital.com,Marketing,10 years,Collects data on visitors' behaviour and interaction - This is used to optimize the website and make advertisement on the website more relevant.
830,ss,Functional,10 years,Necessary for the functionality of the website's chat-box function.
831,st_csd,Marketing,1 year,Date of the last cookie-syn
832,st_cs,Marketing,1 year,Unique identifiers of DSPs
833,TestIfCookieP,Marketing,2 years,SmartAdServer is a remote ad serving system. Sites and Advertisers are using the system to manage the delivery of their online advertising campaigns. They can collect anonymous statistical data on their visitors to follow the delivery of their campaign and to increase their performance.
834,pid,Marketing,2 years,SmartAdServer is a remote ad serving system. Sites and Advertisers are using the system to manage the delivery of their online advertising campaigns. They can collect anonymous statistical data on their visitors to follow the delivery of their campaign and to increase their performance.
835,.AspNetCore.Antiforgery.,Functional,Session,Anti-forgery cookie is a security mechanism to defend against cross-site request forgery (CSRF) attacks.
836,unruly_m,Marketing,6 days,Pending
837,KRTBCOOKIE_,Marketing,29 days,Registers a unique ID that identifies the user's device during return visits across websites that use the same ad network. The ID is used to allow targeted ads.
838,csync,Marketing,1 day,Optimises ad display based on the user's movement combined and various advertiser bids for displaying user ads.
839,lidid,Marketing,2 years,Collects data on visitors' behaviour and interaction - This is used to make advertisement on the website more relevant. The cookie also allows the website to detect any referrals from other websites.
840,f5_cspm,Analytics,Session,"This cookie name is associated with the BIG-IP product suite from company F5. It is used to monitor page load speed, as part of site performance monitoring."
841,tluid,Marketing,3 months,This cookie is used to identify the visitor and optimize ad-relevance by collecting visitor data from multiple websites – this exchange of visitor data is normally provided by a third-party data-center or ad-exchange.
842,__zlcmid,Marketing,1 year,Live chat widget on Slack contact page (ZopIM)
843,i,Marketing,1 year,"Registers user data, such as IP address, geographical location, websites visited and on which advertisements the user has clicked, with the aim of optimizing the display of advertisements based on user relocation on websites that use the same advertising network."
844,dpm,Marketing,179 days,Pending
845,ssc,Functional,2 years,AddThis - Cookie related to an AddThis sharing button available on the website
846,na_id,Functional,2 years,AddThis - Cookie related to an AddThis sharing button available on the website
847,na_tc,Functional,2 years,AddThis - Cookie related to an AddThis sharing button available on the website
848,ouid,Functional,2 years,AddThis - Cookie related to an AddThis sharing button available on the website
849,DG_HID,Marketing,30 days,Pending
850,DG_IID,Marketing,30 days,Pending
851,DG_SID,Marketing,30 days,Pending
852,DG_UID,Marketing,30 days,Pending
853,DG_ZID,Marketing,30 days,Pending
854,DG_ZUID,Marketing,30 days,Pending
855,fonts-loaded,Functional,30 days,This cookie checks and remembers whether you have the font used by funda. Remembering this check makes visiting the website faster.
856,html-classes,Functional,30 days,Remembering how the website is displayed to adjust the appearance of the site to the environment and browser used by the user. This ensures that the site loads faster on a subsequent visit.
857,SNLB2,Functional,30 days,Pending
858,lz_last_visit,Functional,1 Year,"Last Visit (Timestamp), used to determine when the website visitor browsed the website the last time."
859,lz_userid,Functional,1 Year,Sets up a unique ID which is used to generate statistical data about the website visitor's usage of the website.
860,lz_visits,Functional,1 Year,"Number of visits, is used to identify how often the website visitor already visited the website."
861,.secureclient,Functional,Session,Pending
862,.securesession,Functional,Session,Pending
863,.stateflags,Functional,Session,Pending
864,.auth,Functional,Session,Pending
865,advst_uid_11,Marketing,6 months,Pending
866,DISPATCHER,Marketing,6 months,Pending
867,DSP_UID,Marketing,9 days,Pending
868,picreel_tracker__visited,Analytics,Unlimited,"Used for statistical purposes when counting the number of pages, the user visited"
869,picreel_tracker__first_visit,Analytics,Unlimited,"Used for statistical purposes, keeping the date of the first visit"
870,picreel_tracker__page_views,Analytics,Unlimited,Pending
871,picreel_new_price,Analytics,Unlimited,Pending
872,__auc,Analytics,1 year,Used to track and report information to the Alexa analytics
873,ads_prefs,Marketing,2 years,"These cookies enable us to track visitor activity from our Twitter ads on our website, and also to allow users to share content from our websites. They cookies do not provide us with any confidential information relating to your account."
874,auth_token,Marketing,2 years,"These cookies enable us to track visitor activity from our Twitter ads on our website, and also to allow users to share content from our websites. They cookies do not provide us with any confidential information relating to your account."
875,csrf_same_site,Marketing,2 years,"These cookies enable us to track visitor activity from our Twitter ads on our website, and also to allow users to share content from our websites. They cookies do not provide us with any confidential information relating to your account."
876,csrf_same_site_set,Marketing,2 years,"These cookies enable us to track visitor activity from our Twitter ads on our website, and also to allow users to share content from our websites. They cookies do not provide us with any confidential information relating to your account."
877,dnt,Marketing,2 years,"These are third party Twitter cookies. These cookies enable users, if they wish, to login to their Twitter account share content from our websites with their friends. These cookies do not allow us access to your accounts or provide us with any confidential information relating to your accounts. These cookies also allow a news feed of tweets to appear on the website."
878,eu_cn,Marketing,2 years,"These are third party Twitter cookies. These cookies enable users, if they wish, to login to their Twitter account share content from our websites with their friends. These cookies do not allow us access to your accounts or provide us with any confidential information relating to your accounts. These cookies also allow a news feed of tweets to appear on the website."
879,external_referer,Marketing,2 years,"Our Website uses Twitter buttons to allow our visitors to follow our promotional Twitter feeds, and sometimes embed feeds on our Website."
880,kdt,Marketing,2 years,"These are third party Twitter cookies. These cookies enable users, if they wish, to login to their Twitter account share content from our websites with their friends. These cookies do not allow us access to your accounts or provide us with any confidential information relating to your accounts. These cookies also allow a news feed of tweets to appear on the website."
881,remember_checked_on,Marketing,2 years,"These cookies enable us to track visitor activity from our Twitter ads on our website, and also to allow users to share content from our websites. These cookies do not provide us with any confidential information relating to your account."
882,rweb_optin,Marketing,2 years,"These cookies enable us to track visitor activity from our Twitter ads on our website, and also to allow users to share content from our websites. These cookies do not provide us with any confidential information relating to your account."
883,syndication_guest_id,Marketing,2 years,Used to collect information about users browsing behaviour for marketing purposes including digital display and social media advertising.
884,twid,Marketing,2 years,"These cookies enable us to track visitor activity from our Twitter ads on our website, and also to allow users to share content from our websites. They cookies do not provide us with any confidential information relating to your account."
885,tfw_exp,Marketing,2 years,"These cookies enable us to track visitor activity from our Twitter ads on our website, and also to allow users to share content from our websites. They cookies do not provide us with any confidential information relating to your account."
886,__asc,Analytics,1 year,A cookie set by Trustpilot if you click the read more widget
887,__insp_norec_sess,Analytics,1 year,Inspectlet uses cookies to keep track of session information. These cookies are needed to accurately understand how visitors are navigating the website.
888,__insp_slim,Analytics,1 year,Inspectlet uses cookies to keep track of session information. These cookies are needed to accurately understand how visitors are navigating the website.
889,__insp_targlpt,Analytics,1 year,Inspectlet uses cookies to keep track of session information. These cookies are needed to accurately understand how visitors are navigating the website.
890,__insp_targlpu,Analytics,1 year,Inspectlet uses cookies to keep track of session information. These cookies are needed to accurately understand how visitors are navigating the website.
891,__RequestVerificationToken,Functional,session,"This is an anti-forgery cookie set by web applications built using ASP.NET MVC technologies. It is designed to stop unauthorised posting of content to a website, known as Cross-Site Request Forgery."
892,__stid,Analytics,1 year,"The __stid cookie is set as part of the ShareThis service and monitors user-activity, e.g. Web pages viewed, navigation from page to page, time spent on each page etc."
893,__uin_mm,Marketing,44 days,These cookies are used to deliver adverts more relevant to you and your interests. They are also used to limit the number of times you see an advertisement as well as help measure the effectiveness of the advertising campaign.
894,__uir_mm,Marketing,14 days,These cookies are used to deliver adverts more relevant to you and your interests. They are also used to limit the number of times you see an advertisement as well as help measure the effectiveness of the advertising campaign.
895,_cc_aud,Marketing,269 days,"Collects anonymous statistical data related to the user's website visits, such as the number of visits, average time spent on the website and what pages have been loaded. The purpose is to segment the website's users according to factors such as demographics and geographical location, in order to enable media and marketing agencies to structure and understand their target groups to enable customised online advertising. "
896,_cc_cc,Marketing,session,"Collects anonymous statistical data related to the user's website visits, such as the number of visits, average time spent on the website and what pages have been loaded. The purpose is to segment the website's users according to factors such as demographics and geographical location, in order to enable media and marketing agencies to structure and understand their target groups to enable customised online advertising. "
897,_cc_id,Marketing,269 days,"Collects anonymous statistical data related to the user's website visits, such as the number of visits, average time spent on the website and what pages have been loaded. The purpose is to segment the website's users according to factors such as demographics and geographical location, in order to enable media and marketing agencies to structure and understand their target groups to enable customised online advertising."
898,ab,Marketing,1 year,This cookie is used by the website’s operator in context with multi-variate testing. This is a tool used to combine or change content on the website. This allows the website to find the best variation/edition of the site.
899,bkdc,Marketing,179 days,"Registers anonymised user data, such as IP address, geographical location, visited websites, and what ads the user has clicked, with the purpose of optimising ad display based on the user's movement on websites that use the same ad network."
900,bku,Marketing,179 days,"Registers anonymised user data, such as IP address, geographical location, visited websites, and what ads the user has clicked, with the purpose of optimising ad display based on the user's movement on websites that use the same ad network."
901,everest_g_v2,Marketing,2 years,"Created after a user initially clicks a client's ad, and used to map the current and subsequent clicks with other events on the client's website"
902,mt_misc,Marketing,30 days,MediaMath uses this cookie to hold attributes about the browser for fraud prevention and other technical optimizations.
903,mt_mop,Marketing,30 days,MediaMath uses this cookie to synchronize the visitor ID with a limited number of trusted exchanges and data partners
